# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon May 21 15:52:05 2018
#
# CONSTRAINT:  where (pl_orbsmax <= 0.2
# CONSTRAINT:  )
# CONSTRAINT:  order by pl_orbsmax desc
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_facility:    Discovery Facility
#
loc_rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
2548,Kepler-371,b,Transit,2,34.76327800,0.00035100,-0.00035100,0,0.200000,,,0,,,,,,,,,,,,,,0.169,0.046,-0.046,0,,,,,0,1,0,1,19h29m18.35s,292.326464,+38d39m27.3s,38.657588,,,,,13.865,,0,Kepler-band,,,,5666.00,146.00,-146.00,0,0.94,,,0,0.99,0.25,-0.25,0,2014-05-14,Kepler
1708,Kepler-146,b,Transit,2,31.15879900,0.00007900,-0.00007900,0,0.200000,,,0,,,,,,,,,,,,,,0.331,0.062,-0.062,0,,,,,0,1,0,1,19h36m26.58s,294.110756,+38d42m36.8s,38.710230,,,,,13.838,,0,Kepler-band,,,,5948.00,100.00,-100.00,0,,,,,1.21,0.23,-0.23,0,2014-05-14,Kepler
1463,Kepler-127,c,Transit,3,29.39319500,0.00007300,-0.00007300,0,0.200000,,,0,,,,,,,,,,,,,,0.237,0.012,-0.012,0,,,,,1,1,0,1,19h00m45.60s,285.189985,+46d01m40.7s,46.027962,,,,,11.485,,0,Kepler-band,,,,6106.00,106.00,-106.00,0,,,,,1.36,0.04,-0.04,0,2014-05-14,Kepler
1813,Kepler-154,b,Transit,5,33.04053200,0.00021500,-0.00021500,0,0.198000,,,0,,,,,,,,,,,,,,0.202,0.039,-0.039,0,,,,,0,1,0,1,19h19m07.33s,289.780522,+49d53m47.5s,49.896530,,,,,14.534,,0,Kepler-band,,,,5690.00,108.00,-108.00,0,0.89,,,0,1.00,0.19,-0.19,0,2014-05-14,Kepler
1246,Kepler-110,c,Transit,2,31.71977500,0.00010400,-0.00010400,0,0.198000,,,0,,,,,,,,,,,,,,0.197,0.039,-0.039,0,,,,,0,1,0,1,19h31m42.99s,292.929133,+48d36m10.1s,48.602814,,,,,12.935,,0,Kepler-band,,,,5960.00,153.00,-153.00,0,,,,,1.15,0.23,-0.23,0,2014-05-14,Kepler
565,HD 27894,c,Radial Velocity,3,36.07000000,0.26000000,-0.09000000,0,0.198000,0.001000,-0.001000,0,0.015000,0.020000,-0.002000,0,,,,,0.16200,0.01100,-0.04000,0,Msini,,,,,,,,,0,0,0,0,04h20m47.05s,65.196030,-59d24m39.0s,-59.410835,42.37,1.57,-1.70,0,9.349,0.021,0,V (Johnson),,,,,,,,0.80,,,0,,,,,2017-06-15,La Silla Observatory
2049,Kepler-195,c,Transit,2,34.09686300,0.00037100,-0.00037100,0,0.197000,,,0,,,,,,,,,,,,,,0.138,0.051,-0.051,0,,,,,0,1,0,1,19h12m29.03s,288.120962,+47d58m00.0s,47.966667,,,,,14.813,,0,Kepler-band,,,,5329.00,200.00,-200.00,0,,,,,0.78,0.28,-0.28,0,2014-05-14,Kepler
2709,Kepler-46,b,Transit,3,33.60134000,0.00021000,-0.00020000,0,0.196800,0.002900,-0.002800,0,0.010000,0.010000,-0.010000,0,89.038,0.075,-0.067,0,6.00000,,,1,Mass,0.808,0.042,-0.043,0,14.00000,,,1,1,1,0,1,19h17m04.50s,289.268744,+42d36m15.0s,42.604176,855.00,68.00,-65.00,0,15.262,,0,Kepler-band,,,,5309.00,200.00,-200.00,0,0.90,0.04,-0.04,0,0.79,0.44,-0.44,0,2014-05-14,Kepler
303,HD 109271,c,Radial Velocity,2,30.93000000,0.02000000,-0.02000000,0,0.196000,0.003000,-0.003000,0,0.150000,0.090000,-0.090000,0,,,,,0.07600,0.00700,-0.00700,0,Msini,,,,,,,,,0,0,0,0,12h33m35.56s,188.398148,-11d37m18.7s,-11.621868,56.92,2.89,-3.22,0,8.055,0.013,0,V (Johnson),7.839,,0,5783.00,62.00,-62.00,0,1.05,0.02,-0.02,0,,,,,2014-05-14,La Silla Observatory
1964,Kepler-166,c,Transit,3,34.26028100,0.00012400,-0.00012400,0,0.195000,,,0,,,,,,,,,,,,,,0.212,0.110,-0.110,0,,,,,0,1,0,1,19h32m38.44s,293.160171,+48d52m52.3s,48.881191,,,,,14.701,,0,Kepler-band,,,,5413.00,200.00,-200.00,0,,,,,0.74,0.38,-0.38,0,2014-05-14,Kepler
1242,Kepler-11,e,Transit,6,31.99960000,0.00080000,-0.00120000,0,0.195000,0.002000,-0.002000,0,0.012000,0.006000,-0.006000,0,88.890,0.020,-0.020,0,0.02500,0.00500,-0.00700,0,Mass,0.374,0.006,-0.008,0,0.58000,0.11000,-0.16000,0,1,1,0,1,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,613.00,,,0,14.200,,0,V (Johnson),,,,5663.00,55.00,-66.00,0,0.96,0.03,-0.03,0,1.06,0.02,-0.02,0,2014-05-14,Kepler
2102,Kepler-214,c,Transit,2,28.77980000,0.00039700,-0.00039700,0,0.194000,,,0,,,,,,,,,,,,,,0.190,0.036,-0.036,0,,,,,0,1,0,1,18h59m01.16s,284.754851,+44d57m21.7s,44.956032,,,,,13.949,,0,Kepler-band,,,,6169.00,100.00,-100.00,0,,,,,1.35,0.25,-0.25,0,2014-05-14,Kepler
